iter	RMSE
908	3708.99098
909	3703.914516
910	3699.917071
911	3695.74354
912	3691.512293
913	3687.465235
914	3682.102062
915	3679.560171
916	3675.4322
917	3672.692506
918	3669.660157
919	3665.620006
920	3660.584465
921	3655.559704
922	3652.697317
923	3648.956571
924	3646.391033
925	3642.608727
926	3637.950399
927	3634.688666
928	3632.927763
929	3630.522859
930	3626.501083
931	3622.619889
932	3618.42569
933	3614.104198
934	3609.980418
935	3605.310305
936	3603.899165
937	3599.094678
938	3595.066598
939	3592.336482
940	3589.576936
941	3584.385786
942	3579.654269
943	3576.009211
944	3572.897145
945	3571.144333
946	3568.655423
947	3566.971845
948	3563.747038
949	3561.958071
950	3558.619372
951	3554.635006
952	3552.803003
953	3549.577489
954	3545.797726
955	3541.367346
956	3537.478733
957	3531.935414
958	3526.147424
959	3523.707375
960	3520.178588
961	3516.056048
962	3511.825816
963	3509.231973
964	3506.300396
965	3500.494321
966	3497.351636
967	3492.851496
968	3489.463105
969	3484.315917
970	3480.916184
971	3476.598867
972	3474.3259
973	3469.768675
974	3464.859762
975	3460.861496
976	3457.760977
977	3451.96059
978	3448.152339
979	3443.60007
980	3438.167162
981	3435.2475
982	3430.784636
983	3428.02007
984	3423.542452
985	3418.025892
986	3413.13401
987	3410.346638
988	3405.778724
989	3401.19702
990	3398.527489
991	3395.223794
992	3392.42985
993	3389.446501
994	3385.632182
995	3380.862376
996	3376.966795
997	3372.861332
998	3367.564855
999	3363.167675
